,step,adult,child,limited_mobility,elder,employee
0,1,0,0,0,0,0
1,2,0,0,0,0,0
2,3,0,0,0,0,0
3,4,0,0,0,0,0
4,5,0,0,0,0,0
5,6,0,0,0,0,0
6,7,0,0,0,0,0
7,8,0,0,0,0,0
8,9,0,0,0,0,0
9,10,0,0,0,0,0
10,11,0,0,0,0,0
11,12,0,0,0,0,0
12,13,0,0,0,0,0
13,14,0,0,0,0,0
14,15,0,0,0,0,0
15,16,0,0,0,0,1
16,17,0,0,0,0,1
17,18,0,1,0,0,1
18,19,0,1,0,0,1
19,20,0,1,0,0,1
20,21,0,1,0,0,1
21,22,0,1,0,0,3
22,23,0,1,0,0,3
23,24,0,1,0,0,3
24,25,0,1,0,0,3
25,26,1,1,0,0,3
26,27,1,1,0,0,3
27,28,2,1,0,0,3
28,29,2,1,0,0,3
29,30,2,1,0,0,3
30,31,2,1,0,0,3
31,32,2,1,0,0,3
32,33,2,1,0,0,3
33,34,2,1,0,0,4
34,35,2,1,0,0,4
35,36,2,1,0,1,4
36,37,2,1,0,1,4
37,38,2,1,0,2,4
38,39,2,1,0,2,4
39,40,2,1,0,2,4
40,41,2,1,0,2,4
41,42,2,1,1,2,4
42,43,2,1,1,2,4
43,44,2,1,1,2,4
44,45,2,1,1,2,4
45,46,2,1,1,2,4
46,47,2,1,1,2,4
47,48,2,1,1,2,4
48,49,2,1,1,2,4
49,50,2,1,1,2,4
50,51,3,1,1,2,4
51,52,3,1,1,2,4
52,53,3,1,1,2,4
53,54,3,1,1,2,4
54,55,3,1,1,2,4
55,56,3,1,1,2,4
56,57,3,1,1,2,4
57,58,3,1,1,2,4
58,59,3,1,1,2,4
59,60,3,1,1,2,4
60,61,3,1,1,2,4
61,62,3,1,1,2,4
62,63,3,1,1,2,4
63,64,3,1,1,2,4
64,65,3,1,1,2,4
65,66,3,1,1,2,4
66,67,3,1,1,2,4
67,68,3,2,1,2,4
68,69,3,2,1,2,4
69,70,3,2,1,2,4
70,71,3,2,1,2,4
71,72,3,2,1,2,4
72,73,3,2,1,2,4
73,74,3,2,1,2,4
74,75,4,2,1,2,4
75,76,4,2,1,2,4
76,77,4,2,1,2,4
77,78,4,2,1,2,4
78,79,4,2,1,2,4
79,80,4,2,1,2,4
80,81,4,2,1,2,4
81,82,4,2,1,2,4
82,83,4,2,1,2,4
83,84,4,2,1,2,4
84,85,4,2,1,2,4
85,86,4,2,1,2,4
86,87,4,2,2,2,4
87,88,4,2,2,2,4
88,89,4,2,2,2,4
89,90,4,2,2,2,4
90,91,4,2,2,2,4
91,92,4,2,2,2,4
92,93,4,2,2,2,4
93,94,4,2,2,2,4
94,95,4,2,2,2,4
95,96,4,2,2,2,4
96,97,4,2,2,2,4
97,98,4,2,2,2,4
98,99,4,2,2,2,4
99,100,5,2,2,2,4
