,step,adult,child,limited_mobility,elder,employee
0,1,1,0,0,0,0
1,2,1,0,0,0,0
2,3,1,0,0,0,0
3,4,1,0,0,0,0
4,5,1,0,0,0,1
5,6,1,0,0,0,1
6,7,1,0,0,0,1
7,8,1,0,0,0,1
8,9,1,0,0,0,1
9,10,1,0,0,0,1
10,11,1,0,0,0,1
11,12,1,0,0,0,1
12,13,1,0,0,0,1
13,14,2,0,0,0,1
14,15,2,0,0,0,1
15,16,2,0,0,0,1
16,17,2,0,0,0,1
17,18,2,0,0,0,1
18,19,2,0,0,0,1
19,20,2,0,0,0,1
20,21,3,0,0,0,1
21,22,3,0,0,0,1
22,23,3,0,0,0,1
23,24,4,0,0,0,1
24,25,4,0,0,0,1
25,26,4,0,0,0,1
26,27,4,0,0,0,1
27,28,4,0,0,0,1
28,29,5,0,0,0,1
29,30,5,1,0,0,2
30,31,5,1,0,0,2
31,32,5,1,0,0,3
32,33,5,1,0,0,3
33,34,5,1,0,0,4
34,35,5,1,0,0,4
35,36,5,2,0,0,4
36,37,5,2,0,0,4
37,38,6,2,0,0,4
38,39,6,2,0,0,4
39,40,6,2,0,0,4
40,41,6,2,0,0,4
41,42,6,2,0,0,4
42,43,6,2,0,0,4
43,44,6,2,0,0,4
44,45,6,2,1,0,4
45,46,6,3,1,0,4
46,47,6,3,1,0,4
47,48,6,3,1,0,4
48,49,6,3,1,0,4
49,50,6,3,1,0,4
50,51,6,3,1,0,4
51,52,6,3,1,0,4
52,53,6,3,1,0,4
53,54,6,3,1,0,4
54,55,6,3,1,0,4
55,56,6,3,1,0,4
56,57,6,3,1,0,4
57,58,6,3,1,0,4
58,59,7,3,1,0,4
59,60,7,3,1,0,4
60,61,7,3,1,0,4
61,62,7,3,1,0,4
62,63,7,3,1,0,4
63,64,7,3,1,0,4
64,65,7,3,1,0,4
65,66,7,3,1,0,4
66,67,7,3,1,0,4
67,68,7,3,1,0,4
68,69,7,3,1,0,4
69,70,7,3,1,0,4
70,71,8,3,1,0,4
71,72,8,3,1,0,4
72,73,8,3,1,0,4
73,74,8,3,1,0,4
74,75,8,3,1,0,4
75,76,8,3,1,0,4
76,77,8,3,1,0,4
77,78,8,3,1,0,4
78,79,8,3,1,0,4
79,80,8,3,1,0,4
80,81,8,3,1,0,4
81,82,8,3,1,0,4
82,83,8,3,1,0,4
83,84,8,3,1,0,4
84,85,8,3,1,0,4
85,86,8,3,1,0,4
86,87,8,3,1,0,4
87,88,8,3,1,0,4
88,89,8,3,1,0,4
89,90,8,3,1,0,4
90,91,8,3,1,0,4
91,92,8,3,1,0,4
92,93,8,3,1,0,4
93,94,8,4,1,0,4
94,95,8,4,1,0,4
95,96,8,4,1,0,4
96,97,8,4,1,0,4
97,98,8,4,1,0,4
98,99,8,4,1,0,4
99,100,8,4,1,0,4
