,step,adult,child,limited_mobility,elder,employee
0,1,0,0,0,0,0
1,2,1,0,0,0,0
2,3,1,0,0,0,0
3,4,1,0,0,0,0
4,5,1,0,0,0,0
5,6,1,0,0,0,0
6,7,1,0,0,0,0
7,8,1,0,0,0,0
8,9,2,0,0,0,0
9,10,2,0,0,0,0
10,11,2,0,0,0,0
11,12,2,1,0,0,0
12,13,3,1,0,0,0
13,14,3,1,0,0,0
14,15,3,1,0,0,0
15,16,4,1,0,0,0
16,17,5,1,0,0,0
17,18,5,1,0,0,0
18,19,5,1,0,0,0
19,20,5,1,0,0,0
20,21,5,1,0,0,0
21,22,5,1,0,0,0
22,23,5,1,0,0,0
23,24,5,1,0,0,0
24,25,5,1,0,0,0
25,26,5,1,0,0,0
26,27,5,1,0,0,0
27,28,5,1,0,0,0
28,29,5,1,0,0,0
29,30,5,1,0,0,0
30,31,6,1,0,0,0
31,32,6,1,0,0,0
32,33,6,1,0,0,0
33,34,6,1,0,0,0
34,35,6,1,0,0,0
35,36,6,1,0,0,0
36,37,6,1,0,0,0
37,38,6,1,0,0,0
38,39,6,1,0,0,0
39,40,6,1,0,0,0
40,41,6,1,0,0,0
41,42,6,2,0,0,0
42,43,6,2,0,0,1
43,44,6,2,0,0,1
44,45,6,2,0,0,1
45,46,6,2,0,0,1
46,47,6,2,0,0,1
47,48,6,2,0,0,1
48,49,6,2,0,0,1
49,50,6,2,0,0,1
50,51,6,2,0,0,1
51,52,6,2,0,0,2
52,53,6,2,0,0,2
53,54,6,2,0,0,2
54,55,6,2,0,0,2
55,56,6,2,0,0,2
56,57,6,2,0,0,2
57,58,6,2,0,0,2
58,59,6,2,0,0,3
59,60,6,2,0,0,3
60,61,6,2,0,0,4
61,62,6,2,0,0,4
62,63,6,2,0,0,4
63,64,6,2,0,0,4
64,65,6,2,0,0,4
65,66,6,2,0,0,4
66,67,6,2,0,0,4
67,68,6,2,0,0,4
68,69,6,2,0,0,4
69,70,6,2,0,0,4
70,71,6,2,0,0,4
71,72,6,2,0,0,4
72,73,6,2,0,0,4
73,74,6,2,0,0,4
74,75,6,2,0,0,4
75,76,6,2,0,0,4
76,77,6,2,0,0,4
77,78,6,2,0,0,4
78,79,6,2,0,0,4
79,80,6,2,0,0,4
80,81,6,2,0,0,4
81,82,6,2,0,0,4
82,83,6,2,0,0,4
83,84,6,2,0,0,4
84,85,7,2,0,0,4
85,86,7,2,0,1,4
86,87,7,2,0,1,4
87,88,7,2,0,1,4
88,89,7,2,0,1,4
89,90,7,2,0,1,4
90,91,7,2,0,1,4
91,92,7,2,0,1,4
92,93,7,2,0,1,4
93,94,7,2,0,1,4
94,95,7,2,0,1,4
95,96,8,2,0,1,4
96,97,8,2,0,1,4
97,98,8,2,0,1,4
98,99,8,2,0,1,4
99,100,8,2,0,1,4
