,step,adult,child,limited_mobility,elder,employee
0,1,0,0,0,0,0
1,2,0,0,0,0,0
2,3,0,0,0,0,0
3,4,0,0,0,0,0
4,5,0,0,0,0,0
5,6,0,0,0,0,0
6,7,0,0,0,0,0
7,8,0,0,0,0,0
8,9,0,0,0,0,0
9,10,0,0,0,0,0
10,11,0,0,0,0,0
11,12,0,0,0,0,0
12,13,0,0,0,0,0
13,14,0,0,0,0,0
14,15,0,0,0,0,0
15,16,0,0,0,0,0
16,17,1,0,0,0,0
17,18,2,0,0,0,0
18,19,2,0,0,0,0
19,20,2,0,0,0,0
20,21,2,0,0,0,0
21,22,2,0,0,0,1
22,23,2,0,0,0,2
23,24,2,0,0,0,2
24,25,2,0,0,0,2
25,26,2,0,0,0,2
26,27,2,0,0,0,2
27,28,2,0,0,1,3
28,29,2,0,0,1,3
29,30,2,0,0,1,3
30,31,2,0,0,1,3
31,32,2,0,0,1,3
32,33,4,0,0,1,3
33,34,4,0,0,1,3
34,35,4,0,0,1,3
35,36,4,0,0,1,3
36,37,4,0,0,1,3
37,38,4,0,0,1,3
38,39,4,0,0,1,3
39,40,4,0,0,1,3
40,41,4,0,0,1,3
41,42,4,0,0,1,3
42,43,4,0,0,1,3
43,44,4,0,0,1,3
44,45,4,0,0,1,3
45,46,4,0,0,1,3
46,47,4,0,0,1,3
47,48,4,0,0,1,3
48,49,4,0,0,1,3
49,50,4,0,0,1,3
50,51,4,0,0,1,3
51,52,4,0,0,1,3
52,53,4,0,0,1,3
53,54,4,0,0,1,3
54,55,4,0,0,1,3
55,56,4,0,0,2,3
56,57,4,0,0,2,3
57,58,4,0,0,2,3
58,59,4,0,0,2,3
59,60,4,0,0,2,3
60,61,4,0,0,2,3
61,62,4,0,0,2,4
62,63,4,0,0,2,4
63,64,4,0,0,2,4
64,65,4,0,0,2,4
65,66,4,0,0,2,4
66,67,4,0,0,2,4
67,68,4,0,0,2,4
68,69,4,0,0,2,4
69,70,5,0,0,2,4
70,71,5,0,0,2,4
71,72,5,0,0,2,4
72,73,5,0,0,2,4
73,74,5,0,0,2,4
74,75,5,0,0,2,4
75,76,5,0,0,2,4
76,77,5,0,0,2,4
77,78,5,0,0,2,4
78,79,5,0,0,2,4
79,80,5,0,0,2,4
80,81,5,0,0,2,4
81,82,5,0,0,2,4
82,83,5,0,0,2,4
83,84,5,0,0,2,4
84,85,5,0,0,2,4
85,86,5,0,0,2,4
86,87,5,0,0,2,4
87,88,5,0,0,2,4
88,89,5,0,0,2,4
89,90,5,0,0,2,4
90,91,5,0,0,2,4
91,92,5,0,0,2,4
92,93,5,0,0,2,4
93,94,6,0,0,2,4
94,95,6,0,0,2,4
95,96,6,0,0,2,4
96,97,6,0,0,2,4
97,98,6,0,0,2,4
98,99,6,0,1,2,4
99,100,6,0,1,2,4
