,step,adult,child,limited_mobility,elder,employee,run
0,1,0,0,0,0,0,0
1,2,0,0,0,0,0,0
2,3,0,0,0,0,0,0
3,4,0,0,0,0,0,0
4,5,0,0,0,0,0,0
5,6,0,0,0,0,0,0
6,7,0,0,0,0,0,0
7,8,0,0,0,0,0,0
8,9,0,0,0,0,0,0
9,10,0,0,0,0,0,0
10,11,0,0,0,0,0,0
11,12,0,0,0,0,0,0
12,13,1,0,0,0,0,0
13,14,1,0,0,0,0,0
14,15,1,0,0,0,0,0
15,16,1,0,0,1,0,0
16,17,1,0,0,1,0,0
17,18,1,0,0,1,0,0
18,19,1,0,0,1,0,0
19,20,1,0,0,1,0,0
20,21,1,0,0,1,0,0
21,22,1,0,0,1,0,0
22,23,1,0,0,1,1,0
23,24,1,0,0,1,1,0
24,25,1,0,0,1,1,0
25,26,1,0,0,1,1,0
26,27,1,0,0,1,1,0
27,28,1,0,0,1,1,0
28,29,1,0,0,1,1,0
29,30,2,0,0,1,1,0
30,31,2,0,0,1,3,0
31,32,2,0,0,1,4,0
32,33,2,0,0,1,4,0
33,34,2,0,0,1,4,0
34,35,2,0,0,1,4,0
35,36,3,0,0,1,4,0
36,37,3,0,0,1,4,0
37,38,3,0,0,1,4,0
38,39,3,0,0,1,4,0
39,40,3,0,0,1,4,0
40,41,3,0,0,1,4,0
41,42,3,0,0,1,4,0
42,43,4,0,0,1,4,0
43,44,4,0,0,1,4,0
44,45,4,0,0,1,4,0
45,46,4,0,0,1,4,0
46,47,4,0,0,1,4,0
47,48,4,0,1,1,4,0
48,49,4,0,1,1,4,0
49,50,4,0,1,1,4,0
50,51,4,0,1,1,4,0
51,52,4,0,1,1,4,0
52,53,4,0,1,1,4,0
53,54,4,0,1,1,4,0
54,55,4,0,1,1,4,0
55,56,4,0,1,1,4,0
56,57,4,0,1,1,4,0
57,58,4,1,1,1,4,0
58,59,4,1,1,1,4,0
59,60,4,2,1,1,4,0
60,61,4,2,1,1,4,0
61,62,4,2,1,1,4,0
62,63,5,2,1,1,4,0
63,64,5,2,1,1,4,0
64,65,5,2,1,1,4,0
65,66,5,2,1,1,4,0
66,67,6,2,1,1,4,0
67,68,6,2,1,1,4,0
68,69,6,2,1,1,4,0
69,70,6,2,1,1,4,0
70,71,6,2,1,1,4,0
71,72,6,2,1,1,4,0
72,73,6,2,1,1,4,0
73,74,6,2,1,1,4,0
74,75,6,2,1,1,4,0
75,76,6,2,1,1,4,0
76,77,6,2,1,1,4,0
77,78,6,2,1,1,4,0
78,79,6,2,1,1,4,0
79,80,6,2,1,1,4,0
80,81,6,2,1,1,4,0
81,82,6,2,1,1,4,0
82,83,6,2,1,1,4,0
83,84,6,2,1,1,4,0
84,85,6,2,1,1,4,0
85,86,6,2,1,1,4,0
86,87,6,2,1,1,4,0
87,88,6,2,1,1,4,0
88,89,6,2,1,1,4,0
89,90,6,2,1,1,4,0
90,91,6,2,1,1,4,0
91,92,6,2,1,1,4,0
92,93,6,2,1,1,4,0
93,94,6,3,1,1,4,0
94,95,6,3,1,1,4,0
95,96,6,3,1,1,4,0
96,97,6,3,1,1,4,0
97,98,6,3,1,1,4,0
98,99,6,3,1,1,4,0
99,100,6,3,1,1,4,0
100,1,0,0,0,0,0,1
101,2,0,0,0,0,0,1
102,3,0,0,0,0,0,1
103,4,0,0,0,0,0,1
104,5,0,0,0,0,0,1
105,6,0,0,0,0,0,1
106,7,0,0,0,0,0,1
107,8,0,0,0,0,0,1
108,9,0,0,0,0,0,1
109,10,0,0,0,0,0,1
110,11,0,0,0,0,0,1
111,12,0,0,0,0,0,1
112,13,0,0,0,0,0,1
113,14,0,0,0,0,0,1
114,15,0,0,0,0,0,1
115,16,0,0,0,0,0,1
116,17,0,0,0,0,0,1
117,18,0,0,0,0,1,1
118,19,0,0,0,0,1,1
119,20,0,0,0,0,1,1
120,21,0,0,0,0,1,1
121,22,1,0,0,0,2,1
122,23,1,0,0,0,2,1
123,24,1,0,0,0,2,1
124,25,1,0,0,0,2,1
125,26,1,0,0,1,2,1
126,27,1,0,0,1,2,1
127,28,1,0,0,1,2,1
128,29,2,0,0,1,2,1
129,30,2,0,0,1,2,1
130,31,2,0,0,1,2,1
131,32,3,0,0,1,2,1
132,33,3,0,0,1,3,1
133,34,3,0,0,1,4,1
134,35,3,0,0,1,4,1
135,36,3,0,0,1,4,1
136,37,3,0,0,1,4,1
137,38,3,0,0,1,4,1
138,39,3,0,0,1,4,1
139,40,3,1,0,1,4,1
140,41,3,1,0,1,4,1
141,42,3,1,0,1,4,1
142,43,3,1,0,1,4,1
143,44,3,1,0,1,4,1
144,45,3,1,0,1,4,1
145,46,3,1,0,1,4,1
146,47,3,1,0,1,4,1
147,48,3,1,0,1,4,1
148,49,3,1,0,1,4,1
149,50,3,1,0,1,4,1
150,51,3,1,0,1,4,1
151,52,3,1,0,1,4,1
152,53,4,1,0,1,4,1
153,54,4,1,0,1,4,1
154,55,4,1,0,1,4,1
155,56,4,1,0,1,4,1
156,57,4,1,0,1,4,1
157,58,4,1,0,1,4,1
158,59,4,1,0,1,4,1
159,60,4,1,0,1,4,1
160,61,4,1,0,1,4,1
161,62,4,1,0,1,4,1
162,63,4,1,0,1,4,1
163,64,4,1,0,1,4,1
164,65,4,1,0,1,4,1
165,66,4,1,0,1,4,1
166,67,4,1,0,1,4,1
167,68,4,1,0,1,4,1
168,69,4,1,0,1,4,1
169,70,5,1,0,1,4,1
170,71,5,1,0,1,4,1
171,72,5,1,0,1,4,1
172,73,5,1,0,1,4,1
173,74,5,1,0,1,4,1
174,75,5,1,0,1,4,1
175,76,5,2,0,1,4,1
176,77,5,2,0,1,4,1
177,78,5,2,0,1,4,1
178,79,5,2,0,1,4,1
179,80,5,2,0,1,4,1
180,81,5,2,0,1,4,1
181,82,5,2,0,1,4,1
182,83,5,2,0,1,4,1
183,84,5,2,0,1,4,1
184,85,5,2,0,1,4,1
185,86,5,2,0,1,4,1
186,87,5,2,0,1,4,1
187,88,5,2,0,1,4,1
188,89,5,2,0,1,4,1
189,90,5,2,0,1,4,1
190,91,5,2,0,1,4,1
191,92,5,2,0,1,4,1
192,93,5,2,0,1,4,1
193,94,5,2,0,1,4,1
194,95,5,2,0,1,4,1
195,96,5,2,0,1,4,1
196,97,5,2,0,1,4,1
197,98,5,2,0,1,4,1
198,99,5,2,0,1,4,1
199,100,5,2,0,1,4,1
200,1,0,0,0,0,0,2
201,2,0,0,0,0,0,2
202,3,0,0,0,0,0,2
203,4,0,0,0,0,0,2
204,5,0,0,0,0,0,2
205,6,0,0,0,0,0,2
206,7,0,0,0,0,0,2
207,8,0,0,0,0,0,2
208,9,0,0,0,0,0,2
209,10,0,0,0,0,0,2
210,11,0,0,0,0,0,2
211,12,0,0,0,0,0,2
212,13,0,0,0,0,0,2
213,14,0,0,0,0,0,2
214,15,0,0,0,0,0,2
215,16,0,0,0,0,1,2
216,17,0,0,0,0,2,2
217,18,0,0,0,0,2,2
218,19,0,0,0,0,2,2
219,20,0,0,0,0,2,2
220,21,0,0,0,0,3,2
221,22,1,0,0,0,3,2
222,23,1,0,0,0,3,2
223,24,1,0,0,0,3,2
224,25,1,0,0,0,3,2
225,26,2,0,0,0,3,2
226,27,2,0,0,0,3,2
227,28,2,0,0,0,4,2
228,29,2,0,0,0,4,2
229,30,2,0,0,0,4,2
230,31,2,0,0,0,4,2
231,32,3,0,0,0,4,2
232,33,3,0,0,0,4,2
233,34,3,0,0,0,4,2
234,35,3,0,0,0,4,2
235,36,3,0,0,0,4,2
236,37,3,0,0,0,4,2
237,38,3,0,0,0,4,2
238,39,3,0,0,0,4,2
239,40,3,0,0,0,4,2
240,41,3,0,0,0,4,2
241,42,3,0,0,0,4,2
242,43,3,0,0,0,4,2
243,44,3,0,0,0,4,2
244,45,3,0,0,0,4,2
245,46,3,1,0,0,4,2
246,47,3,1,0,0,4,2
247,48,3,1,0,0,4,2
248,49,3,1,0,0,4,2
249,50,4,1,0,0,4,2
250,51,4,1,0,0,4,2
251,52,4,1,0,0,4,2
252,53,4,1,0,0,4,2
253,54,4,1,0,0,4,2
254,55,4,1,0,0,4,2
255,56,4,2,0,0,4,2
256,57,4,2,0,0,4,2
257,58,4,2,0,0,4,2
258,59,4,2,0,0,4,2
259,60,4,2,0,0,4,2
260,61,4,2,0,0,4,2
261,62,4,2,0,0,4,2
262,63,4,2,0,0,4,2
263,64,4,2,0,0,4,2
264,65,4,2,0,0,4,2
265,66,4,3,0,0,4,2
266,67,4,3,0,0,4,2
267,68,4,3,0,0,4,2
268,69,4,3,0,0,4,2
269,70,4,3,0,0,4,2
270,71,4,3,0,0,4,2
271,72,4,3,0,0,4,2
272,73,4,3,0,0,4,2
273,74,4,3,0,0,4,2
274,75,4,3,0,0,4,2
275,76,4,3,0,0,4,2
276,77,4,3,0,0,4,2
277,78,4,3,0,0,4,2
278,79,4,3,0,0,4,2
279,80,4,3,0,0,4,2
280,81,4,3,0,0,4,2
281,82,4,3,0,0,4,2
282,83,4,3,0,0,4,2
283,84,4,3,0,0,4,2
284,85,4,3,0,0,4,2
285,86,4,3,0,0,4,2
286,87,4,3,0,0,4,2
287,88,4,3,0,0,4,2
288,89,4,3,0,0,4,2
289,90,4,3,0,0,4,2
290,91,4,3,0,0,4,2
291,92,4,3,0,0,4,2
292,93,4,3,0,0,4,2
293,94,4,3,0,0,4,2
294,95,4,3,0,0,4,2
295,96,4,3,0,0,4,2
296,97,4,3,0,0,4,2
297,98,5,3,0,0,4,2
298,99,5,3,0,0,4,2
299,100,5,3,0,0,4,2
300,1,0,0,0,0,0,3
301,2,0,0,0,0,0,3
302,3,0,0,0,0,0,3
303,4,0,0,0,0,0,3
304,5,0,0,0,0,0,3
305,6,0,0,0,0,0,3
306,7,0,0,0,0,0,3
307,8,0,0,0,0,0,3
308,9,0,0,0,0,0,3
309,10,0,0,0,0,0,3
310,11,0,0,0,0,0,3
311,12,0,0,0,0,0,3
312,13,0,0,0,0,0,3
313,14,0,0,0,0,0,3
314,15,0,0,0,0,0,3
315,16,0,0,0,0,0,3
316,17,0,0,0,0,0,3
317,18,0,0,0,0,0,3
318,19,0,0,0,0,0,3
319,20,0,0,0,0,1,3
320,21,0,0,0,0,1,3
321,22,0,0,0,1,2,3
322,23,0,0,0,1,2,3
323,24,0,0,0,1,3,3
324,25,0,0,0,1,3,3
325,26,0,0,0,1,3,3
326,27,0,0,0,1,3,3
327,28,0,0,0,1,3,3
328,29,0,0,0,1,3,3
329,30,0,0,1,1,3,3
330,31,0,0,1,1,3,3
331,32,0,0,1,1,3,3
332,33,0,0,1,1,3,3
333,34,0,0,1,1,4,3
334,35,0,0,1,1,4,3
335,36,0,0,1,1,4,3
336,37,0,0,1,1,4,3
337,38,0,0,1,1,4,3
338,39,0,0,1,1,4,3
339,40,0,0,1,1,4,3
340,41,1,0,1,1,4,3
341,42,1,0,1,1,4,3
342,43,1,0,1,1,4,3
343,44,1,0,1,1,4,3
344,45,1,0,1,1,4,3
345,46,2,0,1,1,4,3
346,47,3,0,1,1,4,3
347,48,3,1,1,1,4,3
348,49,3,1,1,1,4,3
349,50,3,1,1,1,4,3
350,51,3,1,1,1,4,3
351,52,3,1,1,1,4,3
352,53,3,1,1,1,4,3
353,54,3,1,1,1,4,3
354,55,3,1,1,1,4,3
355,56,3,1,1,1,4,3
356,57,3,1,1,1,4,3
357,58,3,1,1,1,4,3
358,59,3,1,1,1,4,3
359,60,3,1,1,1,4,3
360,61,3,1,1,1,4,3
361,62,3,1,1,1,4,3
362,63,3,1,1,1,4,3
363,64,3,2,1,1,4,3
364,65,3,2,1,1,4,3
365,66,3,2,1,1,4,3
366,67,3,2,1,1,4,3
367,68,3,2,1,1,4,3
368,69,3,2,1,1,4,3
369,70,3,2,1,1,4,3
370,71,3,2,1,1,4,3
371,72,3,2,1,1,4,3
372,73,3,2,1,1,4,3
373,74,3,2,1,1,4,3
374,75,3,2,1,1,4,3
375,76,3,2,1,1,4,3
376,77,3,2,1,1,4,3
377,78,3,2,1,2,4,3
378,79,3,2,1,2,4,3
379,80,3,2,1,2,4,3
380,81,3,2,1,2,4,3
381,82,3,2,1,2,4,3
382,83,4,2,1,2,4,3
383,84,4,2,1,2,4,3
384,85,4,2,1,2,4,3
385,86,4,2,1,2,4,3
386,87,4,2,1,2,4,3
387,88,4,2,1,2,4,3
388,89,4,2,1,2,4,3
389,90,4,2,1,2,4,3
